--------------------------------------------------------
Legend:
--------------------------------------------------------
#           folder number, e.g. #21 for 21_iCub_standing_sim_1.0
seq         iteration number for given fitness function
V1          SUCCESS when testing icubGazeboSim for 6 consecutive steps (simulation), without domain randomization
V2          SUCCESS when testing iCubGazeboV2_5 for 6 consecutive steps (simulation), with noise on input contact forces and velocity measurements + external wrenches applied on chest
fitness [X] indicates that the weights have been taken from the second best optimized solution of experiment X
--------------------------------------------------------

--------------------------------------------------------
  Experiments run from PC in Nancy
--------------------------------------------------------
# Fitness                 |seq | V1 | V2 | weight values
1  TEST robust            | -  | -  | -  | -
2  TEST performance       | -  | -  | -  | -
                          | 8  | 0  | 1  | [1.148228133385330,0.856306170159867,0.201605246297169,0.165677527430851,1.000000000000000e-06,6.216610081386619e-06]
                          | 9  | 1  | 0  | [1.373958182276271,1.340980525373211,0.167131645970655,0.003825720799931,1.000000000000000e-06,1.000000000000000e-10]
                          | 10 | 1  | 0  | [1.378113530254930,1.580373477692991,0.188858501579258,0.027338434690686,1.000000000000000e-06,1.000000000000000e-10]

103 PerformanceRobust     | 1  |    |    | [0.945104836771175,1.120754343153260,0.096370184442048,0.005430998307493,0.052153316381580,9.220263155226478e-06]
                          | 2  |    |    | [1.231593383594960,1.238898296804516,0.035408385467845,0.089155367952121,0.105872526862853,1.000000000000000e-10]
                          | 3  |    |    | [1.025333453969640,1.505085440985329,0,0.127049066585970,0.063701136021567,1.000000000000000e-10]
                          | 4  |    |    | [1.025333453969640,1.505085440985329,0,0.127049066585970,0.063701136021567,1.000000000000000e-10]
                          | 5  |    |    | [1.081735030800343,1.113559167945536,0.037847627199989,1.000000000000000e-04,0.017910081598157,1.000000000000000e-10]
                          | 6  |    |    | [1.193822668877717,1.129164241601464,0.112994737899634,1.000000000000000e-04,0.056376118555317,1.000000000000000e-10]
                          | 7  |    |    | [0.982026935763453,1.244108469099048,0.038055320958752,0.113952238921296,0.138167344507733,1.000000000000000e-10]
                          | 8  |    |    | [0.887771618972515,1.058435513619626,0,0.127628195944034,0.049830484903638,1.000000000000000e-10]
                          | 9  |    |    | [0.462987236024449,0.467303213372647,0.073086280899937,1.000000000000000e-04,0.024611348454104,1.000000000000000e-10]
                          | 10 |    |    | 
                          | 11 |    |    | 
                          | 12 |    |    | 
                          | 13 |    |    | 
                          | 14 |    |    | [1.153975380425661,0.848322753511948,0.126563375617720,1.000000000000000e-04,0.040515142253388,1.000000000000000e-10]                       

104 Performance           | 1  |    |    | [0.177654443787018,1.272131741743256,0,1.000000000000000e-04,0.302817187973592,1.000000000000000e-10]
                          | 2  |    |    | 
                          | 3  |    |    | 
                          | 4  |    |    | 
                          | 5  |    |    | 
                          | 6  |    |    | 
                          | 7  |    |    | 
                          | 8  |    |    | 
                          | 9  |    |    | 

105 Robust                | 1  |    |    | [0.914993344108382,0.888955993033456,0,1.000000000000000e-04,0.066989844982083,1.000000000000000e-10]
                          | 2  |    |    | 
                          | 3  |    |    | 
                          | 4  |    |    | 
                         

